split,variant,resample,profile_auroc,drug_auroc
scaffold,tuned_E,6,0.8852104822051962,0.6106207708149456
scaffold,tuned_E,7,0.547305711212996,0.47950310559006215
scaffold,tuned_E,8,0.4607032899249704,0.5820657685064464
scaffold,tuned_E,9,0.5981399902104748,0.6216760676873488
scaffold,chemberta_ft,0,0.5826330532212884,0.5992409867172674
scaffold,chemberta_ft,1,0.488779030167205,0.5667372881355932
scaffold,chemberta_ft,2,0.514249000882055,0.6165158371040724
scaffold,chemberta_ft,3,0.5361658651132335,0.5012315270935961
scaffold,chemberta_ft,4,0.681884159760266,0.6996491228070175
scaffold,chemberta_ft,5,0.4689925240299039,0.5625468164794007
scaffold,chemberta_ft,6,0.5853074907775864,0.601353339217417
scaffold,chemberta_ft,7,0.41569026999490577,0.5233954451345756
scaffold,chemberta_ft,8,0.27291116085909206,0.6174127191076344
scaffold,chemberta_ft,9,0.47784919316659047,0.5326349717969379
scaffold,chemberta_meta,0,0.5480618718075465,0.5612903225806453
scaffold,chemberta_meta,1,0.444795992353833,0.5438396349413299
scaffold,chemberta_meta,2,0.4954536049917784,0.5686274509803921
scaffold,chemberta_meta,3,0.5487225947752263,0.511767925561029
scaffold,chemberta_meta,4,0.6569352749293752,0.6343859649122807
scaffold,chemberta_meta,5,0.537937581583007,0.547191011235955
scaffold,chemberta_meta,6,0.7277451116258504,0.5732568402471315
scaffold,chemberta_meta,7,0.44523688232297504,0.5511387163561077
scaffold,chemberta_meta,8,0.3382661824214741,0.6431986093003043
scaffold,chemberta_meta,9,0.5514872856535311,0.613215149073328
